,Q2b,Q2c,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Female,Age,Work_exp
254,1,1.0,4,4,4,4,4,5,4,5,5,4,4,4,4,4,5,4,4,4,4,4,4,4,1,32,1.0
256,1,6.0,5,5,4,5,4,3,3,5,4,4,4,3,5,2,4,2,2,2,4,5,4,4,1,31,3.0
258,1,6.0,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,30,1.0
260,1,6.0,2,5,4,4,3,2,1,4,3,4,4,1,4,2,2,2,3,2,3,4,4,2,1,35,3.0
264,1,5.0,2,3,4,4,3,4,5,4,5,4,4,1,5,1,3,3,1,1,3,4,4,4,0,33,3.0
266,2,4.0,5,5,5,5,5,5,5,4,3,5,5,3,5,3,5,5,3,4,5,5,5,5,1,35,4.0
268,2,2.0,4,4,4,4,3,4,4,4,4,4,4,5,5,2,3,2,4,3,4,3,3,5,1,32,1.0
270,1,6.0,1,4,4,3,3,2,1,4,5,4,4,1,4,1,3,3,1,1,1,2,4,4,1,33,2.0
272,1,2.0,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,1,4,2,4,4,4,4,1,30,2.0
274,2,2.0,2,4,4,4,4,4,4,4,3,5,3,1,5,1,1,2,1,3,3,5,5,5,1,30,1.0
276,1,2.0,4,5,3,4,4,2,1,4,1,5,4,1,5,1,1,1,1,1,1,2,1,1,0,34,4.0
278,1,6.0,2,5,4,5,3,2,4,2,4,4,5,1,5,4,4,4,4,3,3,4,4,4,1,30,2.0
280,1,2.0,4,5,5,5,5,4,5,4,2,4,5,3,5,5,5,5,1,1,5,5,5,5,0,38,5.0
284,1,2.0,4,5,4,5,5,5,4,3,2,5,5,2,5,1,2,2,1,1,5,4,4,5,1,40,6.0
